Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:27:23:948,167,0,1,2,56244,92659,63267,-67,-229,966
05.10.2024 20:27:23:952,168,0,1,2,56244,92651,63263,-70,-234,967
05.10.2024 20:27:23:956,169,0,1,2,56241,92648,63263,-72,-228,970
05.10.2024 20:27:23:960,170,0,1,2,56237,92648,63261,-67,-227,970
05.10.2024 20:27:23:964,171,0,1,2,56238,92651,63255,-68,-229,975
05.10.2024 20:27:23:968,172,0,1,2,56235,92645,63256,-65,-233,968
05.10.2024 20:27:23:972,173,0,1,2,56238,92644,63253,-68,-231,970
05.10.2024 20:27:23:976,174,0,1,2,56228,92638,63251,-70,-233,963
05.10.2024 20:27:23:979,175,0,1,2,56223,92635,63249,-66,-230,967
05.10.2024 20:27:23:983,176,0,1,2,56229,92631,63249,-67,-232,969
05.10.2024 20:27:23:987,177,0,1,2,56222,92629,63244,-72,-231,969
05.10.2024 20:27:23:991,178,0,1,2,56225,92625,63245,-66,-229,970
05.10.2024 20:27:23:995,179,0,1,2,56227,92627,63246,-71,-227,962
05.10.2024 20:27:23:999,180,0,1,2,56222,92622,63237,-71,-230,968
05.10.2024 20:27:24:3,181,0,1,2,56223,92614,63237,-67,-231,966
05.10.2024 20:27:24:7,182,0,1,2,56220,92613,63237,-66,-233,966
05.10.2024 20:27:24:11,183,0,1,2,56218,92607,63236,-66,-235,965
05.10.2024 20:27:24:15,184,0,1,2,56220,92602,63226,-68,-227,970
05.10.2024 20:27:24:18,185,0,1,2,56224,92602,63232,-74,-227,967
05.10.2024 20:27:24:22,186,0,1,2,56226,92604,63229,-66,-228,967
05.10.2024 20:27:24:26,187,0,1,2,56217,92601,63227,-62,-230,967
05.10.2024 20:27:24:30,188,0,1,2,56223,92598,63221,-65,-226,965
05.10.2024 20:27:24:34,189,0,1,2,56224,92591,63224,-64,-227,963
05.10.2024 20:27:24:38,190,0,1,2,56230,92590,63221,-69,-231,972
05.10.2024 20:27:24:42,191,0,1,2,56229,92590,63218,-4,-228,968
05.10.2024 20:27:24:46,192,0,1,2,56230,92588,63219,-70,-232,967
05.10.2024 20:27:24:50,193,0,1,2,56233,92582,63216,-66,-233,973
05.10.2024 20:27:24:54,194,0,1,2,56232,92583,63218,-66,-231,968
05.10.2024 20:27:24:58,195,0,1,2,56235,92588,63218,-64,-235,974
05.10.2024 20:27:24:61,196,0,1,2,56233,92582,63214,-67,-231,973
05.10.2024 20:27:24:65,197,0,1,2,56237,92586,63214,-63,-232,967
05.10.2024 20:27:24:69,198,0,1,2,56239,92577,63211,-67,-227,970
05.10.2024 20:27:24:73,199,0,1,2,56242,92582,63213,-71,-232,974
05.10.2024 20:27:24:77,200,0,1,2,56243,92573,63207,-70,-231,967
05.10.2024 20:27:24:81,201,0,1,2,56248,92577,63210,-68,-230,960
05.10.2024 20:27:24:85,202,0,1,2,56249,92574,63212,-66,-228,971
05.10.2024 20:27:24:89,203,0,1,2,56247,92573,63210,-67,-230,972
05.10.2024 20:27:24:93,204,0,1,2,56259,92570,63208,-68,-232,973
05.10.2024 20:27:24:97,205,0,1,2,56258,92572,63207,-66,-226,970
05.10.2024 20:27:24:100,206,0,1,2,56256,92570,63208,-66,-235,973
05.10.2024 20:27:24:104,207,0,1,2,56266,92565,63203,-64,-227,969
05.10.2024 20:27:24:108,208,0,1,2,56271,92568,63206,-73,-234,974
05.10.2024 20:27:24:112,209,0,1,2,56273,92570,63208,-72,-236,972
05.10.2024 20:27:24:116,210,0,1,2,56272,92571,63206,-70,-227,972
05.10.2024 20:27:24:120,211,0,1,2,56276,92570,63208,-72,-232,971
05.10.2024 20:27:24:124,212,0,1,2,56278,92566,63205,-68,-231,967
05.10.2024 20:27:24:128,213,0,1,2,56280,92568,63208,-67,-232,969
05.10.2024 20:27:24:132,214,0,1,2,56284,92564,63204,-72,-228,967
