Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:30:07:69,104,0,1,2,61743,100214,64449,-70,-547,778
05.10.2024 20:30:07:73,105,0,1,2,61711,100158,64413,-34,-647,880
05.10.2024 20:30:07:77,106,0,1,2,61690,100108,64365,-22,-688,878
05.10.2024 20:30:07:81,107,0,1,2,61652,100062,64330,-16,-733,895
05.10.2024 20:30:07:85,108,0,1,2,61629,100028,64295,3,-754,969
05.10.2024 20:30:07:89,109,0,1,2,61599,99990,64272,10,-769,991
05.10.2024 20:30:07:93,110,0,1,2,61562,99976,64247,23,-767,1014
05.10.2024 20:30:07:97,111,0,1,2,61532,99951,64231,35,-767,1011
05.10.2024 20:30:07:101,112,0,1,2,61509,99934,64217,15,-733,991
05.10.2024 20:30:07:105,113,0,1,2,61472,99920,64208,0,-694,974
05.10.2024 20:30:07:108,114,0,1,2,61454,99910,64194,-39,-596,916
05.10.2024 20:30:07:112,115,0,1,2,61428,99900,64188,-69,-502,848
05.10.2024 20:30:07:116,116,0,1,2,61404,99885,64183,-78,-475,816
05.10.2024 20:30:07:120,117,0,1,2,61382,99876,64180,-90,-445,787
05.10.2024 20:30:07:124,118,0,1,2,61359,99874,64184,-90,-435,776
05.10.2024 20:30:07:128,119,0,1,2,61336,99873,64184,-97,-410,752
05.10.2024 20:30:07:132,120,0,1,2,61308,99875,64187,-97,-398,748
05.10.2024 20:30:07:136,121,0,1,2,61278,99881,64191,-106,-352,729
05.10.2024 20:30:07:140,122,0,1,2,61258,99885,64196,-122,-317,724
05.10.2024 20:30:07:144,123,0,1,2,61233,99895,64193,-131,-302,738
05.10.2024 20:30:07:147,124,0,1,2,61209,99893,64194,-138,-282,795
05.10.2024 20:30:07:151,125,0,1,2,61187,99896,64188,-138,-282,814
05.10.2024 20:30:07:155,126,0,1,2,61170,99890,64182,-117,-320,861
05.10.2024 20:30:07:159,127,0,1,2,61145,99868,64168,-82,-381,893
05.10.2024 20:30:07:163,128,0,1,2,61127,99850,64149,-67,-414,908
05.10.2024 20:30:07:167,129,0,1,2,61116,99821,64129,-52,-476,914
05.10.2024 20:30:07:171,130,0,1,2,61101,99797,64114,-47,-496,915
05.10.2024 20:30:07:175,131,0,1,2,61101,99767,64089,-53,-524,907
05.10.2024 20:30:07:179,132,0,1,2,61084,99737,64072,-62,-542,888
05.10.2024 20:30:07:183,133,0,1,2,61074,99716,64055,-71,-543,887
05.10.2024 20:30:07:187,134,0,1,2,61063,99694,64040,-77,-543,872
05.10.2024 20:30:07:190,135,0,1,2,61057,99677,64023,-78,-535,861
05.10.2024 20:30:07:194,136,0,1,2,61039,99657,64009,-85,-536,863
05.10.2024 20:30:07:198,137,0,1,2,61022,99642,64007,-84,-539,854
05.10.2024 20:30:07:202,138,0,1,2,61004,99634,63994,-78,-531,861
05.10.2024 20:30:07:206,139,0,1,2,60999,99616,63981,-83,-530,867
05.10.2024 20:30:07:210,140,0,1,2,60996,99609,63974,-72,-532,867
05.10.2024 20:30:07:214,141,0,1,2,60972,99604,63969,-75,-532,864
05.10.2024 20:30:07:218,142,0,1,2,60961,99592,63964,-79,-528,865
05.10.2024 20:30:07:222,143,0,1,2,60944,99582,63958,-75,-529,865
05.10.2024 20:30:07:226,144,0,1,2,60943,99578,63955,-80,-519,856
05.10.2024 20:30:07:229,145,0,1,2,60938,99572,63944,-80,-512,852
05.10.2024 20:30:07:233,146,0,1,2,60923,99565,63944,-80,-511,852
05.10.2024 20:30:07:237,147,0,1,2,60915,99563,63938,-78,-506,845
05.10.2024 20:30:07:241,148,0,1,2,60909,99551,63936,-78,-504,840
05.10.2024 20:30:07:245,149,0,1,2,60903,99544,63932,-79,-510,845
05.10.2024 20:30:07:249,150,0,1,2,60892,99541,63933,-76,-514,846
05.10.2024 20:30:07:253,151,0,1,2,60886,99528,63924,-75,-520,838
05.10.2024 20:30:07:257,152,0,1,2,60876,99529,63921,-74,-521,848
05.10.2024 20:30:07:261,153,0,1,2,60878,99522,63917,-82,-522,844
05.10.2024 20:30:07:265,154,0,1,2,60865,99518,63916,-86,-527,848
05.10.2024 20:30:07:268,155,0,1,2,60862,99520,63917,-89,-528,834
05.10.2024 20:30:07:272,156,0,1,2,60862,99514,63916,-85,-529,838
05.10.2024 20:30:07:276,157,0,1,2,60853,99513,63920,-91,-524,851
05.10.2024 20:30:07:280,158,0,1,2,60853,99514,63915,-82,-524,868
05.10.2024 20:30:07:284,159,0,1,2,60842,99511,63918,-73,-518,869
05.10.2024 20:30:07:288,160,0,1,2,60839,99517,63922,-62,-505,887
05.10.2024 20:30:07:292,161,0,1,2,60839,99523,63932,-57,-492,906
05.10.2024 20:30:07:296,162,0,1,2,60836,99519,63933,-58,-487,886
05.10.2024 20:30:07:300,163,0,1,2,60842,99514,63937,-69,-454,877
05.10.2024 20:30:07:304,164,0,1,2,60833,99503,63929,-76,-440,838
