Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:28:15:438,14963,2,0,1,129404,102663,139303,24,-993,202
05.10.2024 13:28:15:442,14964,2,0,1,129400,102638,139302,24,-993,202
05.10.2024 13:28:15:446,14965,2,0,1,129399,102637,139297,21,-991,208
05.10.2024 13:28:15:450,14966,2,0,1,129397,102623,139285,27,-994,201
05.10.2024 13:28:15:454,14967,2,0,1,129397,102617,139290,23,-994,198
05.10.2024 13:28:15:458,14968,2,0,1,129391,102594,139285,29,-994,200
05.10.2024 13:28:15:462,14969,2,0,1,129390,102578,139277,26,-991,200
05.10.2024 13:28:15:466,14970,2,0,1,129386,102579,139280,26,-989,198
05.10.2024 13:28:15:470,14971,2,0,1,129386,102560,139274,29,-991,200
05.10.2024 13:28:15:474,14972,2,0,1,129388,102552,139269,24,-995,203
05.10.2024 13:28:15:477,14973,2,0,1,129384,102540,139264,28,-990,199
05.10.2024 13:28:15:481,14974,2,0,1,129384,102522,139263,30,-990,203
05.10.2024 13:28:15:485,14975,2,0,1,129383,102503,139258,23,-992,203
05.10.2024 13:28:15:489,14976,2,0,1,129378,102505,139254,24,-995,199
05.10.2024 13:28:15:493,14977,2,0,1,129379,102486,139248,28,-992,200
05.10.2024 13:28:15:497,14978,2,0,1,129375,102468,139252,24,-994,196
05.10.2024 13:28:15:501,14979,2,0,1,129380,102471,139248,28,-996,197
05.10.2024 13:28:15:505,14980,2,0,1,129376,102463,139247,25,-992,201
05.10.2024 13:28:15:509,14981,2,0,1,129377,102442,139246,24,-996,197
05.10.2024 13:28:15:513,14982,2,0,1,129371,102439,139244,26,-998,202
05.10.2024 13:28:15:516,14983,2,0,1,129371,102432,139239,25,-994,200
05.10.2024 13:28:15:520,14984,2,0,1,129370,102431,139235,29,-996,203
05.10.2024 13:28:15:524,14985,2,0,1,129378,102428,139243,31,-997,204
05.10.2024 13:28:15:528,14986,2,0,1,129374,102414,139238,24,-999,203
05.10.2024 13:28:15:532,14987,2,0,1,129373,102416,139240,25,-992,206
05.10.2024 13:28:15:536,14988,2,0,1,129374,102411,139242,25,-994,203
05.10.2024 13:28:15:540,14989,2,0,1,129374,102397,139242,25,-994,203
05.10.2024 13:28:15:544,14990,2,0,1,129372,102401,139238,23,-993,201
05.10.2024 13:28:15:548,14991,2,0,1,129372,102401,139243,25,-998,204
05.10.2024 13:28:15:552,14992,2,0,1,129370,102394,139247,27,-993,208
05.10.2024 13:28:15:555,14993,2,0,1,129371,102393,139239,27,-995,200
05.10.2024 13:28:15:559,14994,2,0,1,129374,102396,139250,27,-988,203
05.10.2024 13:28:15:563,14995,2,0,1,129372,102399,139245,27,-993,197
05.10.2024 13:28:15:567,14996,2,0,1,129372,102388,139244,26,-988,203
05.10.2024 13:28:15:571,14997,2,0,1,129377,102398,139245,23,-993,205
05.10.2024 13:28:15:575,14998,2,0,1,129372,102391,139247,31,-989,198
05.10.2024 13:28:15:579,14999,2,0,1,129374,102396,139244,29,-991,203
05.10.2024 13:28:15:583,15000,2,0,1,129379,102387,139246,25,-991,201
05.10.2024 13:28:15:587,15001,2,0,1,129385,102390,139247,29,-987,203
05.10.2024 13:28:15:591,15002,2,0,1,129382,102393,139259,30,-987,202
05.10.2024 13:28:15:594,15003,2,0,1,129379,102400,139253,28,-983,203
05.10.2024 13:28:15:598,15004,2,0,1,129382,102401,139250,32,-994,207
05.10.2024 13:28:15:602,15005,2,0,1,129382,102402,139249,31,-989,203
05.10.2024 13:28:15:606,15006,2,0,1,129381,102394,139251,22,-995,203
05.10.2024 13:28:15:610,15007,2,0,1,129381,102401,139250,24,-992,204
05.10.2024 13:28:15:614,15008,2,0,1,129383,102397,139256,25,-993,203
05.10.2024 13:28:15:618,15009,2,0,1,129383,102394,139260,29,-995,200
05.10.2024 13:28:15:622,15010,2,0,1,129387,102406,139258,27,-992,204
05.10.2024 13:28:15:626,15011,2,0,1,129388,102409,139259,29,-995,201
05.10.2024 13:28:15:630,15012,2,0,1,129384,102410,139267,31,-991,205
05.10.2024 13:28:15:633,15013,2,0,1,129389,102414,139261,24,-993,203
05.10.2024 13:28:15:637,15014,2,0,1,129389,102404,139266,24,-993,203
05.10.2024 13:28:15:641,15015,2,0,1,129390,102412,139267,27,-992,205
05.10.2024 13:28:15:645,15016,2,0,1,129389,102414,139271,22,-999,205
05.10.2024 13:28:15:649,15017,2,0,1,129391,102421,139270,24,-993,201
05.10.2024 13:28:15:653,15018,2,0,1,129392,102426,139268,22,-1001,202
05.10.2024 13:28:15:657,15019,2,0,1,129396,102429,139267,24,-997,204
05.10.2024 13:28:15:661,15020,2,0,1,129392,102417,139279,22,-995,203
05.10.2024 13:28:15:665,15021,2,0,1,129396,102426,139274,23,-995,199
05.10.2024 13:28:15:669,15022,2,0,1,129390,102422,139270,27,-996,205
05.10.2024 13:28:15:672,15023,2,0,1,129395,102431,139276,27,-996,202
05.10.2024 13:28:15:676,15024,2,0,1,129396,102431,139273,28,-1000,203
05.10.2024 13:28:15:680,15025,2,0,1,129394,102439,139270,29,-1002,200
05.10.2024 13:28:15:684,15026,2,0,1,129393,102430,139276,27,-997,203
05.10.2024 13:28:15:688,15027,2,0,1,129395,102435,139279,27,-998,198
05.10.2024 13:28:15:692,15028,2,0,1,129392,102440,139276,22,-996,197
05.10.2024 13:28:15:696,15029,2,0,1,129398,102450,139282,29,-992,203
05.10.2024 13:28:15:700,15030,2,0,1,129395,102449,139278,30,-993,204
05.10.2024 13:28:15:704,15031,2,0,1,129391,102449,139274,26,-998,205
05.10.2024 13:28:15:708,15032,2,0,1,129394,102442,139276,26,-993,198
05.10.2024 13:28:15:711,15033,2,0,1,129391,102456,139271,30,-992,198
05.10.2024 13:28:15:715,15034,2,0,1,129390,102457,139274,26,-990,200
05.10.2024 13:28:15:719,15035,2,0,1,129394,102453,139273,26,-991,200
05.10.2024 13:28:15:723,15036,2,0,1,129394,102448,139270,23,-991,203
05.10.2024 13:28:15:727,15037,2,0,1,129389,102452,139272,26,-992,202
05.10.2024 13:28:15:731,15038,2,0,1,129392,102451,139272,26,-989,201
05.10.2024 13:28:15:735,15039,2,0,1,129396,102452,139270,26,-989,201
05.10.2024 13:28:15:739,15040,2,0,1,129388,102444,139267,27,-991,203
05.10.2024 13:28:15:743,15041,2,0,1,129390,102443,139265,28,-995,203
05.10.2024 13:28:15:747,15042,2,0,1,129392,102443,139265,26,-991,202
05.10.2024 13:28:15:750,15043,2,0,1,129392,102444,139269,28,-991,202
05.10.2024 13:28:15:754,15044,2,0,1,129388,102439,139263,22,-993,198
05.10.2024 13:28:15:758,15045,2,0,1,129390,102440,139265,26,-990,198
05.10.2024 13:28:15:762,15046,2,0,1,129392,102434,139266,28,-994,199
05.10.2024 13:28:15:766,15047,2,0,1,129389,102443,139265,27,-993,201
05.10.2024 13:28:15:770,15048,2,0,1,129388,102437,139261,28,-990,199
05.10.2024 13:28:15:774,15049,2,0,1,129392,102425,139268,27,-995,201
05.10.2024 13:28:15:778,15050,2,0,1,129389,102428,139262,23,-994,199
05.10.2024 13:28:15:782,15051,2,0,1,129390,102431,139264,27,-993,201
05.10.2024 13:28:15:786,15052,2,0,1,129393,102428,139263,31,-992,204
05.10.2024 13:28:15:789,15053,2,0,1,129388,102431,139258,28,-995,202
05.10.2024 13:28:15:793,15054,2,0,1,129390,102421,139262,29,-995,203
05.10.2024 13:28:15:797,15055,2,0,1,129389,102423,139259,29,-994,203
05.10.2024 13:28:15:801,15056,2,0,1,129388,102420,139265,28,-994,201
05.10.2024 13:28:15:805,15057,2,0,1,129388,102433,139264,28,-995,203
05.10.2024 13:28:15:809,15058,2,0,1,129388,102427,139261,29,-996,203
05.10.2024 13:28:15:813,15059,2,0,1,129388,102423,139267,24,-997,201
05.10.2024 13:28:15:817,15060,2,0,1,129388,102428,139264,29,-997,203
05.10.2024 13:28:15:821,15061,2,0,1,129387,102429,139264,30,-996,208
05.10.2024 13:28:15:825,15062,2,0,1,129386,102432,139269,25,-998,203
