Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],Temperature[C]
12.10.2024 12:07:22:397,32.125
12.10.2024 12:07:22:494,32.135
12.10.2024 12:07:22:591,32.115
12.10.2024 12:07:22:689,32.135
12.10.2024 12:07:22:786,32.13
12.10.2024 12:07:22:883,32.13
12.10.2024 12:07:22:981,32.125
12.10.2024 12:07:23:78,32.13
12.10.2024 12:07:23:175,32.125
12.10.2024 12:07:23:273,32.115
12.10.2024 12:07:23:370,32.12
12.10.2024 12:07:23:467,32.14
12.10.2024 12:07:23:565,32.14
12.10.2024 12:07:23:662,32.13
12.10.2024 12:07:23:759,32.13
12.10.2024 12:07:23:857,32.145
12.10.2024 12:07:23:954,32.14
12.10.2024 12:07:24:51,32.14
12.10.2024 12:07:24:149,32.13
12.10.2024 12:07:24:246,32.125
12.10.2024 12:07:24:343,32.13
12.10.2024 12:07:24:441,32.14
12.10.2024 12:07:24:538,32.125
12.10.2024 12:07:24:635,32.145
12.10.2024 12:07:24:733,32.13
12.10.2024 12:07:24:830,32.135
12.10.2024 12:07:24:927,32.15
12.10.2024 12:07:25:25,32.135
12.10.2024 12:07:25:122,32.14
12.10.2024 12:07:25:219,32.115
12.10.2024 12:07:25:317,32.125
12.10.2024 12:07:25:414,32.14
12.10.2024 12:07:25:511,32.135
12.10.2024 12:07:25:609,32.145
12.10.2024 12:07:25:706,32.14
12.10.2024 12:07:25:803,32.125
12.10.2024 12:07:25:901,32.145
12.10.2024 12:07:25:998,32.13
12.10.2024 12:07:26:95,32.145
12.10.2024 12:07:26:193,32.15
12.10.2024 12:07:26:290,32.12
12.10.2024 12:07:26:387,32.135
12.10.2024 12:07:26:485,32.14
12.10.2024 12:07:26:582,32.14
12.10.2024 12:07:26:679,32.14
12.10.2024 12:07:26:777,32.135
12.10.2024 12:07:26:874,32.145
12.10.2024 12:07:26:971,32.135
12.10.2024 12:07:27:69,32.12
12.10.2024 12:07:27:166,32.155
12.10.2024 12:07:27:263,32.135
12.10.2024 12:07:27:360,32.135
12.10.2024 12:07:27:458,32.145
12.10.2024 12:07:27:555,32.12
12.10.2024 12:07:27:652,32.145
12.10.2024 12:07:27:750,32.135
12.10.2024 12:07:27:847,32.14
12.10.2024 12:07:27:944,32.145
12.10.2024 12:07:28:42,32.145
12.10.2024 12:07:28:139,32.13
12.10.2024 12:07:28:236,32.14
12.10.2024 12:07:28:334,32.15
12.10.2024 12:07:28:431,32.135
12.10.2024 12:07:28:528,32.14
12.10.2024 12:07:28:626,32.15
12.10.2024 12:07:28:723,32.125
12.10.2024 12:07:28:820,32.145
12.10.2024 12:07:28:918,32.145
12.10.2024 12:07:29:15,32.16
12.10.2024 12:07:29:112,32.14
12.10.2024 12:07:29:210,32.14
12.10.2024 12:07:29:307,32.155
12.10.2024 12:07:29:404,32.145
12.10.2024 12:07:29:502,32.155
12.10.2024 12:07:29:599,32.16
12.10.2024 12:07:29:696,32.14
12.10.2024 12:07:29:794,32.13
12.10.2024 12:07:29:891,32.14
12.10.2024 12:07:29:988,32.155
12.10.2024 12:07:30:86,32.155
12.10.2024 12:07:30:183,32.155
12.10.2024 12:07:30:280,32.145
12.10.2024 12:07:30:378,32.145
12.10.2024 12:07:30:475,32.15
12.10.2024 12:07:30:572,32.15
12.10.2024 12:07:30:670,32.15
12.10.2024 12:07:30:767,32.145
12.10.2024 12:07:30:864,32.145
12.10.2024 12:07:30:962,32.155
12.10.2024 12:07:31:59,32.15
12.10.2024 12:07:31:156,32.14
12.10.2024 12:07:31:254,32.14
12.10.2024 12:07:31:351,32.155
12.10.2024 12:07:31:448,32.15
12.10.2024 12:07:31:546,32.155
12.10.2024 12:07:31:643,32.14
12.10.2024 12:07:31:740,32.15
12.10.2024 12:07:31:838,32.145
12.10.2024 12:07:31:935,32.155
12.10.2024 12:07:32:32,32.145
12.10.2024 12:07:32:130,32.155
12.10.2024 12:07:32:227,32.145
12.10.2024 12:07:32:324,32.15
12.10.2024 12:07:32:421,32.15
12.10.2024 12:07:32:519,32.155
12.10.2024 12:07:32:616,32.155
12.10.2024 12:07:32:713,32.165
12.10.2024 12:07:32:811,32.16
12.10.2024 12:07:32:908,32.15
12.10.2024 12:07:33:5,32.16
12.10.2024 12:07:33:103,32.17
12.10.2024 12:07:33:200,32.165
12.10.2024 12:07:33:297,32.17
12.10.2024 12:07:33:395,32.155
12.10.2024 12:07:33:492,32.16
12.10.2024 12:07:33:589,32.16
12.10.2024 12:07:33:687,32.16
12.10.2024 12:07:33:784,32.16
12.10.2024 12:07:33:881,32.16
12.10.2024 12:07:33:979,32.155
12.10.2024 12:07:34:76,32.17
12.10.2024 12:07:34:173,32.155
12.10.2024 12:07:34:271,32.17
12.10.2024 12:07:34:368,32.18
12.10.2024 12:07:34:465,32.16
12.10.2024 12:07:34:563,32.145
12.10.2024 12:07:34:660,32.165
12.10.2024 12:07:34:757,32.165
12.10.2024 12:07:34:855,32.16
12.10.2024 12:07:34:952,32.175
12.10.2024 12:07:35:49,32.165
12.10.2024 12:07:35:147,32.155
12.10.2024 12:07:35:244,32.17
12.10.2024 12:07:35:341,32.165
12.10.2024 12:07:35:439,32.165
12.10.2024 12:07:35:536,32.165
12.10.2024 12:07:35:633,32.165
12.10.2024 12:07:35:731,32.155
12.10.2024 12:07:35:828,32.16
12.10.2024 12:07:35:925,32.16
12.10.2024 12:07:36:23,32.16
12.10.2024 12:07:36:120,32.16
12.10.2024 12:07:36:217,32.165
12.10.2024 12:07:36:315,32.17
12.10.2024 12:07:36:412,32.16
12.10.2024 12:07:36:509,32.17
12.10.2024 12:07:36:607,32.165
12.10.2024 12:07:36:704,32.16
12.10.2024 12:07:36:801,32.165
12.10.2024 12:07:36:899,32.17
12.10.2024 12:07:36:996,32.185
12.10.2024 12:07:37:93,32.18
12.10.2024 12:07:37:191,32.16
12.10.2024 12:07:37:288,32.165
12.10.2024 12:07:37:385,32.155
12.10.2024 12:07:37:482,32.175
12.10.2024 12:07:37:580,32.165
12.10.2024 12:07:37:677,32.185
12.10.2024 12:07:37:774,32.17
12.10.2024 12:07:37:872,32.17
12.10.2024 12:07:37:969,32.16
12.10.2024 12:07:38:66,32.17
12.10.2024 12:07:38:164,32.165
12.10.2024 12:07:38:261,32.18
12.10.2024 12:07:38:358,32.175
12.10.2024 12:07:38:456,32.175
12.10.2024 12:07:38:553,32.17
12.10.2024 12:07:38:650,32.165
12.10.2024 12:07:38:748,32.155
12.10.2024 12:07:38:845,32.165
12.10.2024 12:07:38:942,32.175
12.10.2024 12:07:39:40,32.18
12.10.2024 12:07:39:137,32.18
12.10.2024 12:07:39:234,32.17
12.10.2024 12:07:39:332,32.18
12.10.2024 12:07:39:429,32.18
12.10.2024 12:07:39:526,32.18
12.10.2024 12:07:39:624,32.18
12.10.2024 12:07:39:721,32.175
