Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
13.10.2024 12:44:26:549,118,0,1,2,28687,58908,5066,19,22,993
13.10.2024 12:44:26:553,119,0,1,2,28693,58903,5067,18,25,998
13.10.2024 12:44:26:556,120,0,1,2,28685,58902,5066,20,22,992
13.10.2024 12:44:26:559,121,0,1,2,28684,58904,5066,15,24,997
13.10.2024 12:44:26:562,122,0,1,2,28679,58901,5065,17,18,996
13.10.2024 12:44:26:566,123,0,1,2,28686,58903,5068,15,23,997
13.10.2024 12:44:26:569,124,0,1,2,28680,58905,5066,15,22,997
13.10.2024 12:44:26:572,125,0,1,2,28690,58906,5069,19,21,996
13.10.2024 12:44:26:575,126,0,1,2,28685,58908,5070,17,17,996
13.10.2024 12:44:26:578,127,0,1,2,28688,58908,5068,12,18,992
13.10.2024 12:44:26:582,128,0,1,2,28685,58906,5066,18,23,989
13.10.2024 12:44:26:585,129,0,1,2,28684,58907,5067,16,17,992
13.10.2024 12:44:26:588,130,0,1,2,28680,58899,5067,19,24,994
13.10.2024 12:44:26:591,131,0,1,2,28689,58905,5067,19,24,994
13.10.2024 12:44:26:595,132,0,1,2,28684,58900,5067,14,25,999
13.10.2024 12:44:26:598,133,0,1,2,28685,58898,5067,17,24,995
13.10.2024 12:44:26:601,134,0,1,2,28682,58896,5066,15,25,994
13.10.2024 12:44:26:604,135,0,1,2,28689,58899,5068,21,24,995
13.10.2024 12:44:26:608,136,0,1,2,28687,58901,5067,19,17,995
13.10.2024 12:44:26:611,137,0,1,2,28683,58901,5066,17,25,996
13.10.2024 12:44:26:614,138,0,1,2,28680,58902,5063,17,23,998
13.10.2024 12:44:26:617,139,0,1,2,28683,58901,5069,18,23,993
13.10.2024 12:44:26:621,140,0,1,2,28685,58901,5067,17,19,994
13.10.2024 12:44:26:624,141,0,1,2,28687,58901,5067,19,28,995
13.10.2024 12:44:26:627,142,0,1,2,28689,58903,5068,18,23,998
13.10.2024 12:44:26:630,143,0,1,2,28692,58903,5070,19,25,995
13.10.2024 12:44:26:634,144,0,1,2,28684,58901,5068,17,26,999
13.10.2024 12:44:26:637,145,0,1,2,28682,58895,5068,18,26,999
13.10.2024 12:44:26:640,146,0,1,2,28685,58900,5066,18,26,999
13.10.2024 12:44:26:643,147,0,1,2,28684,58893,5066,19,28,999
13.10.2024 12:44:26:647,148,0,1,2,28684,58895,5068,18,25,998
13.10.2024 12:44:26:650,149,0,1,2,28686,58895,5068,20,24,999
13.10.2024 12:44:26:653,150,0,1,2,28688,58898,5066,20,27,999
13.10.2024 12:44:26:656,151,0,1,2,28681,58899,5066,20,27,999
13.10.2024 12:44:26:660,152,0,1,2,28684,58897,5068,17,22,991
13.10.2024 12:44:26:663,153,0,1,2,28681,58894,5066,20,25,999
13.10.2024 12:44:26:666,154,0,1,2,28685,58894,5067,18,25,996
13.10.2024 12:44:26:669,155,0,1,2,28681,58889,5067,18,21,994
13.10.2024 12:44:26:673,156,0,1,2,28682,58893,5067,13,26,994
