Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:24:44:630,155,2,0,1,122076,87897,130382,15,-676,734
05.10.2024 13:24:44:634,156,2,0,1,122072,87891,130378,12,-674,733
05.10.2024 13:24:44:638,157,2,0,1,122078,87882,130376,7,-678,742
05.10.2024 13:24:44:642,158,2,0,1,122070,87874,130375,10,-679,742
05.10.2024 13:24:44:646,159,2,0,1,122070,87895,130377,8,-676,741
05.10.2024 13:24:44:649,160,2,0,1,122077,87877,130372,4,-675,738
05.10.2024 13:24:44:653,161,2,0,1,122072,87873,130381,13,-675,737
05.10.2024 13:24:44:657,162,2,0,1,122070,87869,130373,11,-673,736
05.10.2024 13:24:44:661,163,2,0,1,122073,87867,130375,10,-673,742
05.10.2024 13:24:44:665,164,2,0,1,122071,87860,130379,12,-673,746
05.10.2024 13:24:44:669,165,2,0,1,122078,87865,130376,10,-672,741
05.10.2024 13:24:44:673,166,2,0,1,122074,87864,130374,10,-676,740
05.10.2024 13:24:44:677,167,2,0,1,122075,87868,130375,11,-679,742
05.10.2024 13:24:44:681,168,2,0,1,122073,87864,130371,4,-684,740
05.10.2024 13:24:44:685,169,2,0,1,122074,87865,130371,7,-678,736
05.10.2024 13:24:44:688,170,2,0,1,122072,87879,130377,13,-679,739
05.10.2024 13:24:44:692,171,2,0,1,122075,87870,130369,8,-683,733
05.10.2024 13:24:44:696,172,2,0,1,122077,87869,130370,9,-682,735
05.10.2024 13:24:44:700,173,2,0,1,122073,87864,130364,14,-677,733
05.10.2024 13:24:44:704,174,2,0,1,122074,87865,130370,9,-681,735
05.10.2024 13:24:44:708,175,2,0,1,122077,87864,130366,12,-688,733
05.10.2024 13:24:44:712,176,2,0,1,122074,87871,130362,8,-685,732
05.10.2024 13:24:44:716,177,2,0,1,122077,87875,130368,9,-688,733
05.10.2024 13:24:44:720,178,2,0,1,122074,87874,130366,9,-688,735
05.10.2024 13:24:44:724,179,2,0,1,122077,87877,130364,9,-689,737
05.10.2024 13:24:44:727,180,2,0,1,122077,87884,130368,11,-683,735
05.10.2024 13:24:44:731,181,2,0,1,122077,87871,130363,7,-683,733
05.10.2024 13:24:44:735,182,2,0,1,122079,87878,130366,8,-681,742
05.10.2024 13:24:44:739,183,2,0,1,122073,87876,130364,8,-684,738
05.10.2024 13:24:44:743,184,2,0,1,122077,87879,130366,8,-681,739
05.10.2024 13:24:44:747,185,2,0,1,122074,87879,130366,6,-678,739
05.10.2024 13:24:44:751,186,2,0,1,122074,87881,130363,6,-681,739
05.10.2024 13:24:44:755,187,2,0,1,122072,87890,130363,9,-670,738
05.10.2024 13:24:44:759,188,2,0,1,122068,87892,130367,8,-672,740
05.10.2024 13:24:44:763,189,2,0,1,122073,87886,130360,10,-667,739
05.10.2024 13:24:44:766,190,2,0,1,122070,87894,130371,14,-670,740
05.10.2024 13:24:44:770,191,2,0,1,122068,87886,130366,12,-670,738
05.10.2024 13:24:44:774,192,2,0,1,122064,87899,130370,9,-674,737
